Attraction_Name,Attraction_Description,Attraction_Type,Entry_Type,Time_To_Spend,City_ID,Attraction_ID
Central Park,This part-park part-museum part-concert hall swallows central Manhattan and many of the citys most notable attractions are situated next to it or within its limits (the Guggenheim the Metropolitan Museum of Art and the American Museum of Natural History to name a few). But travelers insist that you shouldnt just pass through Central Park on your way to another place. This 843-acre green space is a favorite of New Yorkers and tourists; you can come here to exercise dine go to the zoo and more.,Sightseeing,Free,Half day to full day,newyorkcity,centralpark
American Museum of Natural History,Visitors love the American Museum of Natural History off Central Park West. Whether youre exploring the interactive exhibits on the land the sea or outer space; user reviews take on a common theme. This museum is incredible. Even the cafeteria and gift shop are worth your notice.There are approximately 32 million artifacts inside spread across four city blocks 25 buildings and through 45 exhibition halls so dont even plan on seeing everything in one day. The Rose Center for Earth and Space is a particular favorite but you should also plan on visiting the dinosaurs the Hall of the Universe and the Butterfly Conservatory (on display from October through May). Local experts also say this museum is one of the best things to do as a family visiting New York City. It’s an imaginative place good for anyone of any age ... and its educational and interactive says Richard Tucker head concierge at The Refinery Hotel. Local experts say the institution is one of the citys cant-miss museums.,Museum,Paid,2 hours to half day,newyorkcity,americanmuseumofnaturalhistory
Rockefeller Center and Top of the Rock Observation Deck,This iconic plaza has it all – beautiful sculptures an enormous skating rink a fishbowl view of NBC Studios plus hordes of stores and restaurants. Though undoubtedly there will be intense crowds this is an experience thats worth having at least once. During the wintertime holidays the plaza sparkles with an illuminated Christmas tree and skaters gliding across the ice rink. But dont fret if your New York adventure doesnt take place during the cold months. Theres plenty to do year-round. If you plan ahead you can spend a morning watching a taping of the Today show an afternoon observing the city from the Top of the Rock Observation Deck and an evening catching a performance at Radio City Music Hall.,Entertainment,Free,Half day to full day,newyorkcity,rockefellercenterandtopoftherockobservationdeck
Times Square,Some say that Times Square is like a five-block metaphor for New York City itself – its exciting colorful and always jumping. Others describe this area of midtown Manhattan as artless overpriced and congested. Perhaps this commercial stretch from West 42nd to West 47th Street is a little of both and though locals would advise you to avoid it you should at least catch a glimpse of its neon lights. Most travelers recommend visiting the area after dark to see the marquee displays. Many add checking out Times Square before or after a Broadway show is the perfect time to fit it into your schedule.,Entertainment,Free,Less than 1 hour,newyorkcity,timessquare
Statue of Liberty,This brightly shining beacon draws visitors year-round. So lets discuss your visiting options. The most popular method involves waiting at least 90 minutes for the ferry to cart you from Battery Park (in Lower Manhattan) to the statue located on Liberty Island then making a stop at Ellis Island before returning to the mainland. The first boat of the day leaves at 9 a.m. the last boat leaves around 3:30 p.m. but almost all travelers complain of the long disorganized lines and security screenings on top of the $18.50 ferry fee for such an abbreviated trip.,Sightseeing,Paid,2 hours to half day,newyorkcity,statueofliberty
Empire State Building,New York City Tourist 101 dictates that you must swing by this landmark structure in midtown Manhattan. And despite the hefty admission fees the crowds and the long lines recent visitors insist that you wont be sorry. In fact taking a trip to the top of the Empire State Building is either the perfect way to begin or end your Big Apple excursion – on a clear day youll be able to the see the citys major highlights some 1050 feet beneath you. Pick up the multimedia tour available in eight languages which guides visitors through the icons exhibits and views with additional background on the buildings history. The tour is included in the admission price and given to guests to enhance their visit.,Sightseeing,Paid,2 hours to half day,newyorkcity,empirestatebuilding
Grand Central Terminal,At this beautiful train station you can eat some lunch or shop till you drop but recent travelers most enjoyed just taking in the scenery. Before you enter be sure to snap a few shots of the ornate beaux-arts neoclassical architecture outside. Inside the celebrated main concourse youre treated to glimmering marble floors gold and nickel-plated chandeliers and a sky-themed ceiling. Food options range from the upscale (Michael Jordans The Steak House N.Y.C. or The Campbell Apartment) to the legendary (the Oyster Bar or the gourmet kiosks at the Grand Central Market) to the fast and easy (Starbucks). As mentioned there are also plenty of shopping options though most travelers suggest you leave most of Grand Centrals pricey merchandise in the store. If you want a train-themed souvenir visit The New York Transit Museum Store in the shuttle passage.,Sightseeing,Free,2 hours to half day,newyorkcity,grandcentralterminal
National September 11 Memorial & Museum,The National September 11 Memorial & Museum serves as the primary tribute to the nearly 3000 victims of the 2001 terrorist attacks as well as the six lost in the 1993 bombing. The Memorials twin reflecting pools and manmade waterfalls rest as eerie footprints where the World Trade Centers Twin Towers once stood. The 1-acre pools are enclosed in bronze panels on which the names of every victim are inscribed. The museum spans across 110000 square feet and relays the narrative of the attacks through a series of multimedia displays real-time recordings authentic artifacts and an interactive table.,Museum,Paid,1 to 2 hours,newyorkcity,nationalseptember11memorial&museum
Metropolitan Museum of Art,No museum in the United States is as celebrated as the Metropolitan Museum of Art. Spilling over with masterpieces from all over the world including notable collections from Ancient Egypt and classical antiquity the Met is an art experience unlike any other and like much in New York its impossible to see all the museum has to offer in one day (or even two days for that matter). If youve never been there then you should definitely visit its permanent collections (the first floors Greek and Roman art Egyptian art and the second floors Islamic art exhibits are especially popular with travelers). If youve already visited the Met a time or two then plan your next trip around the semiannual exhibits by the Costume Institute or head to The Met Cloisters an offshoot museum thats dedicated to medieval Europes art and architecture located in Fort Tyron Park.,Museum,Paid,Half day to full day,newyorkcity,metropolitanmuseumofart
Bryant Park,Just south of Times Square lies some of the most beautiful 4 acres in Manhattan – Bryant Park. Though its lush green space has existed for more than 150 years Bryant Park was a revitalization project of the 1990s that made it a sanctuary for locals and tourists alike. This is the preferred place for midtown Manhattan professionals to come eat lunch for fashionistas to strut during fashion week and for performers to showcase their talents during Broadway in Bryant Park and Piano in the Park.,Sightseeing,Free,2 hours to half day,newyorkcity,bryantpark
Miami Beach,Travelers go to Miami mainly for Miami Beach and they go to Miami Beach mainly for South Beach the regions unrivaled crown jewel. The art deco history of the city meets the bright lights and vibrant nightlife of the younger generation.Theres something for everyone here — and a lot of it. White sand an eclectic dining scene prime shopping luxurious spas and world-class nightlife are all staples in Miami Beach. Just make sure to bring plenty of loot — Miami Beach can be done on a budget but youll severely limit your options and it wont be nearly as fun.,Beach,Free,More than Full Day,miami,miamibeach
Little Havana,Located to the immediate west of downtown Miami Little Havana is the symbolic and cultural capital for Cuban-Americans in Miami. The neighborhood brings in droves of visitors with its vibrant atmosphere and excellent food.Calle Ocho (8th Street) is the center of activity here. Maximo Gomez Park also known as Domino Park is located at the corner of Calle Ocho and 15th Avenue and is a pleasant place to hang out and take in a game of dominoes or chess. Travelers recommend El Pub for its authentic Cuban food and cheap prices. Every March the Calle Ocho Festival takes over Miami for a week drawing thousands of attendees for a massive street festival celebrating Carnaval with tons of music food and dancing.,Sightseeing,Free,Half day to full day,miami,littlehavana
Zoo Miami,This beautiful zoo is home to more than 2000 animals representing more than 500 different species. Its famous for providing a natural environment for its residents without the use of cages — rather the zoo employs strategically placed moats to separate the animals from the visitors.,Zoo,Paid,2 hours to half day,miami,zoomiami
Wynwood Walls,This open-air street art installation one of the largest in the world is one of the reasons a run-down neighborhood has found new life as the art hub of Miami. Founded in 2009 as a way to jump start revitalization in the neighborhood lying between downtown and the design district the Wynwood Walls acts as an outdoor art museum covering more than 80000 square feet of abandoned warehouse walls. The walls garnered such a positive response from the community that a year later the lot adjacent became known as the Wynwood Doors where metal roll-down gates transformed into even more canvas space. The walls and doors are saturated with bright eclectic street art and whimsical graffiti. Since its start more than 50 artists from 16 countries have brought the walls to life.,Sightseeing,Free,1 to 2 hours,miami,wynwoodwalls
Everglades National Park,About 30 miles west of downtown Miami and a world away from flashy South Beach the Everglades National Park is the largest subtropical wetland in North America. Known as the River of Grass for its slow moving water the national park offers a unique look into the diverse ecosystem and vegetation that filters water as it moves farther south toward the Florida Bay and Key West.,Parks and Gardens,Paid,2 hours to half day,miami,evergladesnationalpark
HistoryMiami,Formally known as the Historical Museum of Southern Florida HistoryMiami aims to add context to the lively culture that makes South Florida distinctly its own destination.More than 100000 square feet of space houses multiple permanent collections including one that follows the history of the region back to its Native American heritage. Exhibitions related to Miamis history include one of the largest Pan American World Airways collections in the country as well as artifacts from local artisans musicians and religious relics. The museum also features annual rotating installations that showcase Miamis influence on American pop culture. Past exhibits include memorabilia and a video from The Beatles trip to Miami Beach in 1964.,Museum,Paid,2 hours to half day,miami,historymiami
Marlins Park,Known as one of the newest and most expensive major league ballparks to be built in the country Marlins Park isnt your run-of-the-mill baseball stadium.Located in the heart of Little Havana on the site of the old Orange Bowl football stadium the 37000-seat park features the standard ball park food vendors ample parking and an official gift shop.,Recreation,Paid,2 hours to half day,miami,marlinspark
"Museum of Contemporary Art, North Miami",If youre looking to get your modern art fix in Miami look no further than the Museum of Contemporary Art North Miami. Located off of Northeast 125th Street the MOCA is an institution with a varied collection of work from both famous and emerging artists.,Museum,Paid,1 to 2 hours,miami,museumofcontemporaryartnorthmiami
Vizcaya Museum and Gardens,Located in the Coconut Grove district the Vizcaya Museum and Gardens were originally built as a winter villa for businessman James Deering in the early 1900s. Today it serves as a museum with a wide variety of art from the 15th to the 19th century. The atmosphere is a key part of the experience with much of the original house intact and showcasing a neat assortment of vintage furniture.,Museum,Paid,2 hours to half day,miami,vizcayamuseumandgardens
Venetian Pool,This public pool with an Italian village theme is a relaxing alternative for those looking for water and sun away from the fast pace of South Beach. The pool does not use chemically treated water relying instead on fresh water from artesian wells.,Swimming/Pools,Paid,2 hours to half day,miami,venetianpool
Millennium Park,A first-time visit to Chicago isnt complete without a stop at Millennium Park. Situated in the Loop just north of the Art Institute of Chicago this 24.5-acre space is used to showcase cutting-edge art architecture and landscaping; it also acts as a backdrop for concerts and festivals. Most visitors come to Millennium Park to see the Crown Fountain and Cloud Gate better known as The Bean. Designed by Spanish artist Jaume Plensa the Crown Fountain features two 50-foot towers that face each other at opposite ends of a shallow reflecting pool. The towers LED screens project the faces of 1000 different Chicago residents which are perfectly aligned with spouts so that it appears they are spitting water on passersby. Cloud Gate – created by British artist Anish Kapoor – is a 110-ton bean-shaped sculpture forged from stainless steel. The Beans elliptical shape reflects the Chicago skyline.,Parks and Gardens,Free,1 to 2 hours,chicago,millenniumpark
Grant Park and Buckingham Fountain,Often referred to as Chicagos front yard Grant Park is a 319-acre swath of green space that starts at the eastern edge of the Loop and stretches down to the northern fringes of the Near South Side. First-time visitors should plan on spending a fair amount of time in Grant Park: This is where youll find several of Chicagos most popular things to do including The Field Museum the Art Institute of Chicago and Shedd Aquarium. (Millennium Park also rubs elbows with the northwest corner of Grant Park.) Baseball diamonds flower gardens walking paths and wide-open grassy terrain are available as well.,Parks and Gardens,Free,Half day to full day,chicago,grantparkandbuckinghamfountain
Lincoln Park Zoo,Located 2 miles north of the Loop in the North Side neighborhood of Lincoln Park the Lincoln Park Zoo is home to dozens of species such as zebras sloths and hippos. Visitors can view the zoos furry (or scaly) friends in their natural habitats: Check out the gorillas in the sprawling Regenstein Center for African Apes or head to the Kovler Seal Pool to get up close and personal with harbor seals,Zoo,Free,2 hours to half day,chicago,lincolnparkzoo
The Magnificent Mile,If you can feel your credit card burning a hole through your wallet make your way to The Magnificent Mile. This portion of Michigan Avenue – which stretches between Lake Shore Drive and the Chicago River – beckons to shopaholics with department stores and luxury retailers like Saks Fifth Avenue Neiman Marcus Macys and Lord & Taylor. Additionally The Magnificent Mile is home to several top-notch eateries and luxury hotels including The Drake a Hilton Hotel the Four Seasons Hotel Chicago and the InterContinental Chicago Magnificent Mile.,shopping,Free,2 hours to half day,chicago,themagnificentmile
Museum of Science and Industry,Chicagos extensive Museum of Science and Industry pays tribute to the citys innovative roots showcasing more than 35000 artifacts and a variety of hands-on exhibits meant to inspire creativity. The museum resides in the 14-acre former Palace of Fine Arts which hosted the famous Worlds Columbian Exposition in 1893. The fair brought together some of the worlds greatest scientific minds including Thomas Edison and Nikola Tesla who at the time were competing to prove which type of electricity – direct current or alternating current – was more effective.  ,Museum,Paid,2 hours to half day,chicago,museumofscienceandindustry
Navy Pier,Extending out onto Lake Michigan Navy Pier offers plenty in the way of family-friendly entertainment. The first thing youll spot once you set foot on the pier is the towering Ferris wheel (which stands 196 feet tall); youll also find a swing-seat ride and a carousel. Once the kids have had their fill of thrill rides you can spend some time practicing your putt at the 18-hole miniature golf course or spend a few hours exploring the Chicago Childrens Museum with hands-on exhibits ranging from treehouses to firetrucks.,Amusement Park,Free,2 hours to half day,chicago,navypier
Art Institute of Chicago,Home to one of the countrys most impressive collections of impressionist and post-impressionist art (plus works from numerous other genres) the expansive Art Institute of Chicago features more than 300000 works from all over the world in its permanent collection. Youll find pieces created in the Byzantine era as well as paintings done just a few decades ago. The Art Institutes exhibits also include all sorts of intriguing artifacts from European armor to the Thorne Miniature Rooms which showcase interior design and furnishings in Europe and America from the late 13th to early 20th centuries. In addition to the permanent collection the Art Institute hosts traveling exhibitions covering a variety of subjects and showcasing a diverse array of artists and genres.,Museum,Paid,2 hours to half day,chicago,artinstituteofchicago
The Field Museum,This extensive natural history museum occupies half an acre of Grant Parks Museum Campus and houses extensive exhibits that showcase artifacts from multiple eras and destinations making it a must-see for kids (as well as any fans of the Indiana Jones movies). Some of the most popular parts of the museum include the Inside Ancient Egypt exhibit which features a reconstruction of a three-story Egyptian tomb and interactive representations of life on the Nile and the Restoring Earth area in the Abbott Hall of Conservation where visitors can learn more about sustainability through hands-on activities. But no visit to The Field Museum would be complete without some quality time with SUE the facilitys T. rex who just happens to be the largest most complete T. rex ever discovered. Sue is 42 feet long from nose to tail and boasts 58 terrifying teeth.,Museum,Paid,2 hours to half day,chicago,thefieldmuseum
360 CHICAGO Observation Deck,One of Chicagos most notable attractions is its skyline and one of the best places to experience it is at the 360 CHICAGO Observation Deck. Formerly known as the John Hancock Observatory 360 CHICAGO towers 1000 feet over The Magnificent Mile from its location on the 94th floor of the John Hancock Center. Encased by floor-to-ceiling windows 360 CHICAGO boasts expansive views of the city; on a clear day you can see for 55 miles in any direction. Meanwhile the interactive screens will help you identify different landmarks that appear in your panorama.,Sightseeing,Paid,1 to 2 hours,chicago,360chicagoobservationdeck
The Chicago Riverwalk,When the weather warms up in Chicago there are few better places to enjoy the outdoors than the Chicago Riverwalk. The 1.25-mile pedestrian walkway on the south bank of the Chicago River is the perfect place to take a walk and observe the city skyline. Plus there are numerous activity options to enjoy directly on the water such as a boat tour or kayaking. If you prefer dry land explore the public gardens and art displays or grab a meal at a popular restaurant or bar overlooking the Chicago River. And if you want to learn more about the rivers unique history check out the McCormick Bridgehouse & Chicago River Museum which celebrates the citys famous movable bridges.,Parks and Gardens,Free,Less than 1 hour,chicago,thechicagoriverwalk
Griffith Observatory and Griffith Park,Griffith Observatory sits on the south face of Mount Hollywood and overlooks the Los Angeles basin. Its location gives visitors impressive views of the surrounding area. But theres more than just a pretty photo-op here. The observatory hosts fascinating exhibitions and features a top-notch planetarium.,Museum,Free,2 hours to half day,losangeles,griffithobservatoryandgriffithpark
The Getty Center,The Getty Center is one of the most impressive architectural achievements in the United States – and it also contains some of the finest works of art in the world. The circular concrete-and-steel structure was designed by renowned architect Richard Meier and it houses an abundance of art from various ages and nations. Here youll find Renaissance paintings 20th-century American photography Baroque sculptures historic manuscripts and more all housed inside a sprawling modern campus amid the Santa Monica Mountains. The museum also offers spectacular views of Los Angeles on clear days.,Museum,Free,2 hours to half day,losangeles,thegettycenter
Santa Monica Pier and Beach,Just west of downtown Los Angeles Santa Monica contains one of the most legendary beach scenes in the United States. Santa Monica also boasts an abundance of great restaurants and excellent nightlife spots. The 3 miles of shoreline are renowned as some of the best in the area thanks to the soft sands ideal weather and bevy of attractions. State Beach as its known averages about 340 days of sunshine a year and acted as the backdrop for the popular television series Baywatch.,beaches,Free,2 hours to half day,losangeles,santamonicapierandbeach
Hollywood Walk of Fame and TCL Chinese Theatre,One of Hollywoods most iconic and memorable sites the TCL Chinese Theatre (originally Graumans Chinese Theatre) opened in 1927 and represents the excess of Hollywoods Golden Age. You can tour the theater for $16 (kids tour tickets cost $8 and senior tickets are $13.50 each); tours are offered from 10 a.m. to 9 9:30 9:45 or 10 p.m. every day except Monday. Because of this attractions popularity its best to reserve your spot online in advance. This working theater also shows various newly released films throughout the year.,Entertainment,Free,1 to 2 hours,losangeles,hollywoodwalkoffameandtclchinesetheatre
Zuma Beach,Malibu has a reputation for excessive wealth and exclusivity yet all of the towns beaches are public – everyones welcome. If youre seeking an LA beach spot for sunbathing and swimming look no further than this part of town. The beaches here are far cleaner than those at Santa Monica or Venice Beach.,beaches,Free,2 hours to half day,losangeles,zumabeach
Third Street Promenade,The Third Street Promenade popular with shopaholics has an eclectic vibe similar to its Santa Monica locale. This open-air shopping mall is filled with major chain stores like Urban Outfitters and H&M as well as more unique boutiques like the Kenneth Karmiole Bookseller Inc. rare books shop and the toys-focused Puzzle Zoo. Youll also find that outdoor dining options – many of which use local ingredients – are plentiful. And if youre in the mood to cook your own meal you can find fresh produce at the farmers market every Wednesday and Saturday morning from 8 or 8:30 a.m. to 1 or 1:30 p.m.,shopping,Free,2 hours to half day,losangeles,thirdstreetpromenade
The Original Farmers Market and The Grove,Sitting south of West Hollywood is one of LAs most beloved landmarks: The Original Farmers Market. Founded in 1934 this cream-colored facility reels in both residents and tourists with the promise of fresh produce and the aroma of ready-to-eat snacks. You can visit throughout the week although hours vary depending on the day. Entry is free but youll want to have some cash on hand should any of the treats whet your appetite. Complimentary parking (when a ticket is validated at the market) is also provided for up to 90 minutes of parking at the markets two lots.,shopping,Free,1 to 2 hours,losangeles,theoriginalfarmersmarketandthegrove
Sunset Boulevard,One of the most iconic thoroughfares in the United States Sunset Boulevard continues to live up to its legends. In the old days it represented the classic and glamorous Hollywood lifestyle and became the setting of several famous films including the obvious classic Sunset Boulevard. Today the palm-lined street (which connects downtown LA to Hollywood Beverly Hills and the Pacific Coast Highway) retains its cinematic appeal and the Sunset Strip portion has become a popular nightlife spot. The strip is also home to many classic music venues including the Rainbow Bar & Grilland The Roxy Theatre.,Sightseeing,Free,1 to 2 hours,losangeles,sunsetboulevard
Los Angeles County Museum of Art,Next door to the La Brea Tar Pits & Museum sits the Los Angeles County Museum of Art the linchpin of the Los Angeles museum district. Since its 1965 opening LACMA has showcased thousands of pieces from Islamic artifacts to European impressionist paintings to modern art. With constantly shifting exhibitions and unique architecture stretched across more than 20 acres of land LACMA offers a rewarding experience for both serious art buffs and casual travelers.,Museum,Paid,2 hours to half day,losangeles,losangelescountymuseumofart
Runyon Canyon Park,Just two blocks from Hollywood Boulevard Runyon Canyon Park is an often overlooked urban park that offers some great views. Atop the canyon you can glimpse views of the San Fernando Valley and the Pacific Ocean as well as the Hollywood Sign and Giffith Observatory. The park also boasts several hiking trails and is a popular spot for celebrities to exercise.,Parks and Gardens,Free,2 hours to half day,losangeles,runyoncanyonpark
The Strip,Once you pass the famous Welcome to Fabulous Las Vegas sign along Las Vegas Boulevard South it wont be too long until youre cruising the Strip. Sin Citys notorious artery acts as the epicenter of any Vegas getaway. Here youll find Las Vegas most iconic landmarks including the Bellagio Fountains the Eiffel Tower at Paris Las Vegas the pyramid and sphinx belonging to The Luxor and The Venetians Grand Canal. ,Sightseeing,Free,Half day to full day,lasvegas,thestrip
The Venetian Casino and Grand Cana,The Venetian replicates the highlights of Venice complete with gondola rides along the Grand Canal. Visitors can get a taste of what life is like in the Queen of the Adriatic thanks to The Venetians Streetmosphere program: singers stilt walkers and living statues recreate the typical scene youd likely encounter in the real Venice for those who opt to spend the day perusing the wares in the Grand Canal Shoppes.,Casinos,Free,2 hours to half day,lasvegas,thevenetiancasinoandgrandcana
Bellagio Casino and Fountains,This Strip staple offers plenty of ways to lay your money on the line from table games and slot machines to a race and sports book. This is also the choice casino among many high-rollers due to its high-stakes tables. Whats more this casino hosts the World Poker Tour among other tournaments. ,Casinos,Free,2 hours to half day,lasvegas,bellagiocasinoandfountains
The Mirage Casino and Volcano,You may recognize this Polynesian-themed casino hotel as one of the three establishments robbed by Danny Ocean and his crew in the 2001 remake of the film Oceans Eleven. In addition to its Hollywood credits The Mirage has earned a reputation among frequent Vegas visitors as one of the best places to gamble along the Strip for high rollers and thrifty betters alike. ,Casinos,Free,2 hours to half day,lasvegas,themiragecasinoandvolcano
MGM Grand Casino,It only makes sense that a city devoted to entertainment would feature a casino hotel devoted to the entertainment industry. The facility – which sits mid-Strip across from New York-New York at the corner of Las Vegas Boulevard and Tropicana Avenue – hosts a variety of performances ranging from big-name concerts to sporting events to Cirque du Soleils KÀ. It is also the partner to the nearby T-Mobile Arena which hosts large-scale events such as the Billboard Music Awards,Casinos,Free,2 hours to half day,lasvegas,mgmgrandcasino
Hoover Dam Tours,Spanning the Colorado River and the Black Canyon (which separates Nevada and Arizona) about 30 miles southeast of Las Vegas sits the Hoover Dam. The immense concrete structure – which confines Lake Mead the largest reservoir in the United States by volume – has helped provide power to Nevada Arizona and California since 1935. These days in addition to keeping the lights on the Hoover Dam welcomes more than a million visitors each year as one of Americas most recognized landmarks.,Sightseeing,Free,2 hours to half day,lasvegas,hooverdamtours
Red Rock Canyon National Conservation Area,Seventeen miles southwest of Las Vegas the Red Rock Canyon National Conservation Area offers travelers a respite from Las Vegas unnatural neon landscape. Though you can opt to follow the 13-mile scenic car route through the desert make the most of your visit by stretching your legs along the numerous hiking and biking trails. No matter how you choose to explore the park youll find yourself surrounded by the beautiful Mojave Desert and its signature red hills.,Hiking,Free,Half day to full day,lasvegas,redrockcanyonnationalconservationarea
The Mob Museum,Back in the day not even Vegas neon lights could distract Americans from Sin Citys darker side; today The Mob Museum sheds light on the citys pervasiveness in the 20th century gangster era. Las Vegas former federal courthouse – located in the downtown area a few blocks northeast of the Fremont Street Experience – now houses distinct interactive exhibits devoted to exposing Americas mob history.,Museum,Paid,Half day to full day,lasvegas,themobmuseum
Fremont Street,Fremont Street used to be dominated by classic but less-frequented casinos that seemed past their prime. But now this section of downtown Las Vegas is once again ready to compete with the Strip for visitors attention.,Sightseeing,Free,1 to 2 hours,lasvegas,fremontstreet
High Roller Observation Wheel,For a unique birds-eye view of the Strip take a ride on the High Roller at The LINQ. Standing 550 feet tall and 520 feet in diameter the observation wheel is the tallest in the world (beating out the London Eye and the Singapore Flyer). The massive Ferris wheel features 28 handcrafted pods made out of Italian glass that can hold up to 40 people each. A trip around the observation wheel takes about 30 minutes and recent guests say its a great place for a photo op of the nearby casinos and attractions.,Sightseeing,Paid,Less than 1 hour,lasvegas,highrollerobservationwheel
Red Rocks Park and Amphitheatre,With its excellent views of the Rocky Mountains miles of hiking trails and cinnamon-hued sandstone cliffs Red Rocks Park is a big draw for outdoors enthusiasts. Occupying 700-some acres this impressive park offers visitors the opportunity to experience the fascinating geographic transition between the Great Plains and the Rocky Mountains. If you only have a short amount of time here stretch your legs along the Trading Post Trail; this nearly 1 ½-mile-long path weaves through the rust-colored buttes making for some spectacular scenery. Before you head out travelers recommend stopping by the visitor center which features information on the parks history and trails.,Entertainment,Free,2 hours to half day,denver,redrocksparkandamphitheatre
Larimer Square,In 1858 a group of American Indians and settlers struck gold at the foot of the Rocky Mountains. Their discovery soon spread back to the East Coast prompting people to pick up and move west. The site of the original pioneer camp (known back then as Auraria) soon grew into the charming area now known as Larimer Square. Although the city has since expanded this historic neighborhood remains the heart and soul of the Mile High City and according to some its the place to start your Denver experience. Recent visitors attest that Larimer Square is always buzzing with life thanks to the areas numerous restaurants shops and nightlife venues.,Entertainment,Free,2 hours to half day,denver,larimersquare
